"Part";"Value";"Device";"Package";"Description";"";
"3V3";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"5V";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"BED_L";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"C1";"10n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C2";"10uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";
"C3";"10n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C4";"47u";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";
"C5";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C6";"10uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";
"C7";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C9";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C10";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C11";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C12";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C13";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C14";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C15";"2.2u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C16";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C17";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C18";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C19";"4u7";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C20";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C21";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C22";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C23";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C24";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C25";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C26";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C27";"2.2u 0.1-10ohm ESR";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C28";"10n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C29";"10p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C30";"10p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C31";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C32";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C33";"2K2";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C34";"2.2u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C35";"2.2u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C36";"2.2u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C37";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C38";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C39";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C40";"220n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C41";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C42";"220n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C43";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C44";"100u";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";
"C45";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C46";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C47";"220n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C48";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C49";"220n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C50";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C51";"100u";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";
"C52";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C53";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C54";"220n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C55";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C56";"220n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C57";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C58";"100u";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";
"C59";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C60";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C61";"220n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C62";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C63";"220n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C64";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C65";"100u";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";
"D1";"BYS10-45-E3";"0012_CD1206-S01575";"MINIMELF";"small-signal high-speed Switching Diodes   CD1206";"";
"D2";"CD1206-S01575";"0012_CD1206-S01575";"MINIMELF";"small-signal high-speed Switching Diodes   CD1206";"";
"D3";"SS1P3L";"0025_SS1P3L-M3/84A";"DO220AAL";"1A 30V Schottky Barrier Rectifiers -SS1P3L-M3/84A";"";
"D4";"PRTR5V0U2XB";"PRTR5V0U2XB";"SOT143B";"";"";
"E";"KK-254-4";"KK-254-4";"MOLEX-KK-254-4";"";"";
"ESP8266";"";"ESP-12";"ESP-12";"";"";
"EXP_1";"057-010-1";"057-010-1";"057-010-1";"CONNECTOR";"";
"EXP_2";"057-010-1";"057-010-1";"057-010-1";"CONNECTOR";"";
"EXT_L";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"F1";"MC36207";"MC36207";"MC36207";"";"";
"FAN1";"KK-254-2";"KK-254-2";"MOLEX-KK-254-2";"";"";
"FAN2";"KK-254-2";"KK-254-2";"MOLEX-KK-254-2";"";"";
"IC1";"LM2734Y";"0179_LM2734YMK";"SOT23-6";"1A Load Step-Down DC-DC Regulator - LM2734Y   Switching";"";
"IC2";"LDO-TS1117CW-3V3";"LDO-TS1117CW-3V3";"SOT223";"LDOs";"";
"IC3";"ATSAM4S8C";"ATSAM4S8C";"LQFP100";"";"";
"IC4";"SI87XXIS";"SI87XXIS";"SOIC08-FAIRCHILD";"";"";
"IC5";"74HC125";"74HC125";"SO14";"";"";
"IC6";"74S08D";"74S08D";"SO14";"Quad 2-input AND gate";"";
"IC7";"A4988";"A4988";"QFN28-TP";"";"";
"IC8";"A4988";"A4988";"QFN28-TP";"";"";
"IC9";"A4988";"A4988";"QFN28-TP";"";"";
"IC10";"A4988";"A4988";"QFN28-TP";"";"";
"J1";"ZX62-AB-5PA";"ZX62-AB-5PA";"USB-MICRO-10103594";"";"";
"J2";"MICROSD";"MICROSD";"MICROSD";"Micro-SD / Transflash card holder with SPI pinout";"";
"J3";"MSTBV4";"MSTBV4";"MSTBV4";"PHOENIX";"";
"J_ERASE";"";"JP1Q";"JP1";"JUMPER";"";
"L1";"MH2029-300Y";"INDUCTOR-0805";"C0805";"Inductors";"";
"L2";"10uH-SRR0604-100ML";"0031_SRR0604-100ML";"SRR0604";"SRR0604-100ML";"";
"L3";"10uH 100MHz";"INDUCTOR-0603";"C0603";"Inductors";"";
"L4";"10uH 100MHz";"INDUCTOR-0603";"C0603";"Inductors";"";
"L5";"4n7H";"INDUCTOR-0603";"C0603";"Inductors";"";
"PWRIN";"MSTBA2";"MSTBA2";"MSTBA2";"PHOENIX";"";
"Q1";"FDS6890A";"FDS6890A";"M08A";"Dual N-Channel 2.5V Specified PowerTrenchTM MOSFET";"";
"Q2";"IRF520";"IRF520";"TO220BV";"HEXFET Power MOSFET";"";
"Q3";"IRF520";"IRF520";"TO220BV";"HEXFET Power MOSFET";"";
"R1";"47K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R2";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R3";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R4";"52.3k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R5";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R6";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R7";"2K2";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R8";"180R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R9";"2K2";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R10";"27K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R11";"47K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R12";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R13";"1R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R14";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R15";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R16";"470R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R17";"47R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R18";"47R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R19";"47R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R20";"2K2";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R21";"2K2";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R22";"470R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R23";"2K2";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R24";"2K2";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R25";"220R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R26";"220R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R27";"220R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R28";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R29";"220R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R30";"220R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R31";"220R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R32";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R33";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R34";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R35";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R36";"180R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R37";"180R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R38";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R39";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R40";"4K7 0.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R41";"4K7 0.1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R42";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R43";"4K7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R44";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R45";"0R2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R46";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R47";"0R2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R48";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R49";"10K";"R-TRIMM3103";"RTRIM3103";"Trimm resistor";"";
"R50";"20K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R51";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R52";"0R2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R53";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R54";"0R2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R55";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R56";"10K";"R-TRIMM3103";"RTRIM3103";"Trimm resistor";"";
"R57";"20K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R58";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R59";"0R2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R60";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R61";"0R2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R62";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R63";"10K";"R-TRIMM3103";"RTRIM3103";"Trimm resistor";"";
"R64";"20K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R65";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R66";"0R2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R67";"10K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R68";"0R2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R69";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R70";"10K";"R-TRIMM3103";"RTRIM3103";"Trimm resistor";"";
"R71";"20K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"RESET";"";"PUSHBUTTON3";"TS42_4PINS";"TS42";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";
"SJ2";"";"SJ";"SJ";"SMD solder JUMPER";"";
"T_BED";"KK-254-2";"KK-254-2";"MOLEX-KK-254-2";"";"";
"T_EXT";"KK-254-2";"KK-254-2";"MOLEX-KK-254-2";"";"";
"USB";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"VIN";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"X";"KK-254-4";"KK-254-4";"MOLEX-KK-254-4";"";"";
"X1";"12MHz";"CRYSTAL-4PIN";"5.0X3.2_KX-9A";"";"";
"X_STOP";"KK-254-3";"KK-254-3";"MOLEX-KK-254-3";"";"";
"Y";"KK-254-4";"KK-254-4";"MOLEX-KK-254-4";"";"";
"Y_STOP";"KK-254-3";"KK-254-3";"MOLEX-KK-254-3";"";"";
"Z";"KK-254-4";"KK-254-4";"MOLEX-KK-254-4";"";"";
"Z_STOP";"KK-254-3";"KK-254-3";"MOLEX-KK-254-3";"";"";
